"expense_category","household_type","annual_cost","state_name"
"Medical","2 Adults (One Working) 2 Children",6303,"Louisiana"
"Housing","2 Adults (One Working) 2 Children",9493,"Louisiana"
"Transportation","2 Adults (One Working) 2 Children",11553,"Louisiana"
"Other","2 Adults (One Working) 2 Children",5178,"Louisiana"
"Required annual income after taxes","2 Adults (One Working) 2 Children",41431,"Louisiana"
"Annual taxes","2 Adults (One Working) 2 Children",6430,"Louisiana"
"Required annual income before taxes","2 Adults (One Working) 2 Children",47861,"Louisiana"
"Food","2 Adults (One Working) 3 Children",10835,"Louisiana"
"Child Care","2 Adults (One Working) 3 Children",0,"Louisiana"
"Medical","2 Adults (One Working) 3 Children",6270,"Louisiana"
"Housing","2 Adults (One Working) 3 Children",12171,"Louisiana"
"Transportation","2 Adults (One Working) 3 Children",11037,"Louisiana"
"Other","2 Adults (One Working) 3 Children",4838,"Louisiana"
"Required annual income after taxes","2 Adults (One Working) 3 Children",45151,"Louisiana"
"Annual taxes","2 Adults (One Working) 3 Children",7007,"Louisiana"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52159,"Louisiana"
"Food","2 Adults",5540,"Louisiana"
"Child Care","2 Adults",0,"Louisiana"
"Medical","2 Adults",4839,"Louisiana"
"Housing","2 Adults",7644,"Louisiana"
"Transportation","2 Adults",8554,"Louisiana"
"Other","2 Adults",3916,"Louisiana"
"Required annual income after taxes","2 Adults",30493,"Louisiana"
"Annual taxes","2 Adults",4732,"Louisiana"
"Required annual income before taxes","2 Adults",35225,"Louisiana"
"Food","2 Adults 1 Child",6898,"Louisiana"
"Child Care","2 Adults 1 Child",4756,"Louisiana"
"Medical","2 Adults 1 Child",6239,"Louisiana"
"Housing","2 Adults 1 Child",9493,"Louisiana"
"Transportation","2 Adults 1 Child",9859,"Louisiana"
"Other","2 Adults 1 Child",4284,"Louisiana"
"Required annual income after taxes","2 Adults 1 Child",41530,"Louisiana"
"Annual taxes","2 Adults 1 Child",6445,"Louisiana"
"Required annual income before taxes","2 Adults 1 Child",47975,"Louisiana"
"Food","2 Adults 2 Children",8903,"Louisiana"
"Child Care","2 Adults 2 Children",5881,"Louisiana"
"Medical","2 Adults 2 Children",6303,"Louisiana"
"Housing","2 Adults 2 Children",9493,"Louisiana"
"Transportation","2 Adults 2 Children",11553,"Louisiana"
"Other","2 Adults 2 Children",5178,"Louisiana"
"Required annual income after taxes","2 Adults 2 Children",47311,"Louisiana"
"Annual taxes","2 Adults 2 Children",7343,"Louisiana"
"Required annual income before taxes","2 Adults 2 Children",54654,"Louisiana"
"Food","2 Adults 3 Children",10835,"Louisiana"
"Child Care","2 Adults 3 Children",7006,"Louisiana"
"Medical","2 Adults 3 Children",6270,"Louisiana"
"Housing","2 Adults 3 Children",12171,"Louisiana"
"Transportation","2 Adults 3 Children",11037,"Louisiana"
"Other","2 Adults 3 Children",4838,"Louisiana"
"Required annual income after taxes","2 Adults 3 Children",52157,"Louisiana"
"Annual taxes","2 Adults 3 Children",8095,"Louisiana"
"Required annual income before taxes","2 Adults 3 Children",60252,"Louisiana"
"Food","1 Adult",3509,"Maine"
"Child Care","1 Adult",0,"Maine"
"Medical","1 Adult",2128,"Maine"
"Housing","1 Adult",6972,"Maine"
"Transportation","1 Adult",3764,"Maine"
"Other","1 Adult",2096,"Maine"
"Required annual income after taxes","1 Adult",18470,"Maine"
"Annual taxes","1 Adult",3596,"Maine"
"Required annual income before taxes","1 Adult",22066,"Maine"
"Food","1 Adult 1 Child",5176,"Maine"
"Child Care","1 Adult 1 Child",6648,"Maine"
"Medical","1 Adult 1 Child",6616,"Maine"
"Housing","1 Adult 1 Child",9993,"Maine"
"Transportation","1 Adult 1 Child",6855,"Maine"
"Other","1 Adult 1 Child",3644,"Maine"
"Required annual income after taxes","1 Adult 1 Child",38932,"Maine"
"Annual taxes","1 Adult 1 Child",7580,"Maine"
"Required annual income before taxes","1 Adult 1 Child",46512,"Maine"
"Food","1 Adult 2 Children",7786,"Maine"
"Child Care","1 Adult 2 Children",10432,"Maine"
"Medical","1 Adult 2 Children",6405,"Maine"
"Housing","1 Adult 2 Children",9993,"Maine"
"Transportation","1 Adult 2 Children",7901,"Maine"
"Other","1 Adult 2 Children",3987,"Maine"
"Required annual income after taxes","1 Adult 2 Children",46503,"Maine"
"Annual taxes","1 Adult 2 Children",9054,"Maine"
"Required annual income before taxes","1 Adult 2 Children",55557,"Maine"
"Food","1 Adult 3 Children",10321,"Maine"
"Child Care","1 Adult 3 Children",14216,"Maine"
"Medical","1 Adult 3 Children",6469,"Maine"
"Housing","1 Adult 3 Children",13110,"Maine"
"Transportation","1 Adult 3 Children",9258,"Maine"
"Other","1 Adult 3 Children",4819,"Maine"
"Required annual income after taxes","1 Adult 3 Children",58192,"Maine"
"Annual taxes","1 Adult 3 Children",11330,"Maine"
"Required annual income before taxes","1 Adult 3 Children",69522,"Maine"
"Food","2 Adults (One Working)",6434,"Maine"
"Child Care","2 Adults (One Working)",0,"Maine"
"Medical","2 Adults (One Working)",5195,"Maine"
"Housing","2 Adults (One Working)",8005,"Maine"
"Transportation","2 Adults (One Working)",6855,"Maine"
"Other","2 Adults (One Working)",3644,"Maine"
"Required annual income after taxes","2 Adults (One Working)",30132,"Maine"
"Annual taxes","2 Adults (One Working)",5867,"Maine"
"Required annual income before taxes","2 Adults (One Working)",35999,"Maine"
"Food","2 Adults (One Working) 1 Child",8011,"Maine"
"Child Care","2 Adults (One Working) 1 Child",0,"Maine"
"Medical","2 Adults (One Working) 1 Child",6405,"Maine"
"Housing","2 Adults (One Working) 1 Child",9993,"Maine"
"Transportation","2 Adults (One Working) 1 Child",7901,"Maine"
"Other","2 Adults (One Working) 1 Child",3987,"Maine"
"Required annual income after taxes","2 Adults (One Working) 1 Child",36296,"Maine"
"Annual taxes","2 Adults (One Working) 1 Child",7067,"Maine"
"Required annual income before taxes","2 Adults (One Working) 1 Child",43363,"Maine"
"Food","2 Adults (One Working) 2 Children",10339,"Maine"
"Child Care","2 Adults (One Working) 2 Children",0,"Maine"
"Medical","2 Adults (One Working) 2 Children",6469,"Maine"
"Housing","2 Adults (One Working) 2 Children",9993,"Maine"
"Transportation","2 Adults (One Working) 2 Children",9258,"Maine"
"Other","2 Adults (One Working) 2 Children",4819,"Maine"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40878,"Maine"
"Annual taxes","2 Adults (One Working) 2 Children",7959,"Maine"
"Required annual income before taxes","2 Adults (One Working) 2 Children",48837,"Maine"
"Food","2 Adults (One Working) 3 Children",12583,"Maine"
"Child Care","2 Adults (One Working) 3 Children",0,"Maine"
"Medical","2 Adults (One Working) 3 Children",6436,"Maine"
"Housing","2 Adults (One Working) 3 Children",13110,"Maine"
"Transportation","2 Adults (One Working) 3 Children",8845,"Maine"
"Other","2 Adults (One Working) 3 Children",4502,"Maine"
"Required annual income after taxes","2 Adults (One Working) 3 Children",45476,"Maine"
"Annual taxes","2 Adults (One Working) 3 Children",8854,"Maine"
"Required annual income before taxes","2 Adults (One Working) 3 Children",54330,"Maine"
"Food","2 Adults",6434,"Maine"
"Child Care","2 Adults",0,"Maine"
"Medical","2 Adults",5195,"Maine"
"Housing","2 Adults",8005,"Maine"
"Transportation","2 Adults",6855,"Maine"
"Other","2 Adults",3644,"Maine"
"Required annual income after taxes","2 Adults",30132,"Maine"
"Annual taxes","2 Adults",5867,"Maine"
"Required annual income before taxes","2 Adults",35999,"Maine"
"Food","2 Adults 1 Child",8011,"Maine"
"Child Care","2 Adults 1 Child",6648,"Maine"
"Medical","2 Adults 1 Child",6405,"Maine"
"Housing","2 Adults 1 Child",9993,"Maine"
"Transportation","2 Adults 1 Child",7901,"Maine"
"Other","2 Adults 1 Child",3987,"Maine"
"Required annual income after taxes","2 Adults 1 Child",42944,"Maine"
"Annual taxes","2 Adults 1 Child",8361,"Maine"
"Required annual income before taxes","2 Adults 1 Child",51305,"Maine"
"Food","2 Adults 2 Children",10339,"Maine"
"Child Care","2 Adults 2 Children",10432,"Maine"
"Medical","2 Adults 2 Children",6469,"Maine"
"Housing","2 Adults 2 Children",9993,"Maine"
"Transportation","2 Adults 2 Children",9258,"Maine"
"Other","2 Adults 2 Children",4819,"Maine"
"Required annual income after taxes","2 Adults 2 Children",51309,"Maine"
"Annual taxes","2 Adults 2 Children",9990,"Maine"
"Required annual income before taxes","2 Adults 2 Children",61299,"Maine"
"Food","2 Adults 3 Children",12583,"Maine"
"Child Care","2 Adults 3 Children",14216,"Maine"
"Medical","2 Adults 3 Children",6436,"Maine"
"Housing","2 Adults 3 Children",13110,"Maine"
"Transportation","2 Adults 3 Children",8845,"Maine"
"Other","2 Adults 3 Children",4502,"Maine"
"Required annual income after taxes","2 Adults 3 Children",59692,"Maine"
"Annual taxes","2 Adults 3 Children",11622,"Maine"
"Required annual income before taxes","2 Adults 3 Children",71314,"Maine"
"Food","1 Adult",3022,"Maryland"
"Child Care","1 Adult",0,"Maryland"
"Medical","1 Adult",2321,"Maryland"
"Housing","1 Adult",11437,"Maryland"
"Transportation","1 Adult",4697,"Maryland"
"Other","1 Adult",2253,"Maryland"
"Required annual income after taxes","1 Adult",23730,"Maryland"
"Annual taxes","1 Adult",3446,"Maryland"
"Required annual income before taxes","1 Adult",27175,"Maryland"
"Food","1 Adult 1 Child",4457,"Maryland"
"Child Care","1 Adult 1 Child",7977,"Maryland"
"Medical","1 Adult 1 Child",6356,"Maryland"
"Housing","1 Adult 1 Child",15638,"Maryland"
"Transportation","1 Adult 1 Child",8554,"Maryland"
"Other","1 Adult 1 Child",3916,"Maryland"
"Required annual income after taxes","1 Adult 1 Child",46899,"Maryland"
"Annual taxes","1 Adult 1 Child",6810,"Maryland"
"Required annual income before taxes","1 Adult 1 Child",53708,"Maryland"
"Food","1 Adult 2 Children",6704,"Maryland"
"Child Care","1 Adult 2 Children",11710,"Maryland"
"Medical","1 Adult 2 Children",6145,"Maryland"
"Housing","1 Adult 2 Children",15638,"Maryland"
"Transportation","1 Adult 2 Children",9859,"Maryland"
"Other","1 Adult 2 Children",4284,"Maryland"
"Required annual income after taxes","1 Adult 2 Children",54341,"Maryland"
"Annual taxes","1 Adult 2 Children",7890,"Maryland"
"Required annual income before taxes","1 Adult 2 Children",62231,"Maryland"
"Food","1 Adult 3 Children",8887,"Maryland"
"Child Care","1 Adult 3 Children",15443,"Maryland"
"Medical","1 Adult 3 Children",6209,"Maryland"
"Housing","1 Adult 3 Children",20473,"Maryland"
"Transportation","1 Adult 3 Children",11553,"Maryland"
"Other","1 Adult 3 Children",5178,"Maryland"
"Required annual income after taxes","1 Adult 3 Children",67743,"Maryland"
"Annual taxes","1 Adult 3 Children",9836,"Maryland"
"Required annual income before taxes","1 Adult 3 Children",77579,"Maryland"
"Food","2 Adults (One Working)",5540,"Maryland"
"Child Care","2 Adults (One Working)",0,"Maryland"
"Medical","2 Adults (One Working)",4996,"Maryland"
"Housing","2 Adults (One Working)",12815,"Maryland"
"Transportation","2 Adults (One Working)",8554,"Maryland"
"Other","2 Adults (One Working)",3916,"Maryland"
"Required annual income after taxes","2 Adults (One Working)",35821,"Maryland"
"Annual taxes","2 Adults (One Working)",5201,"Maryland"
"Required annual income before taxes","2 Adults (One Working)",41023,"Maryland"
"Food","2 Adults (One Working) 1 Child",6898,"Maryland"
"Child Care","2 Adults (One Working) 1 Child",0,"Maryland"
"Medical","2 Adults (One Working) 1 Child",6145,"Maryland"
"Housing","2 Adults (One Working) 1 Child",15638,"Maryland"
"Transportation","2 Adults (One Working) 1 Child",9859,"Maryland"
"Other","2 Adults (One Working) 1 Child",4284,"Maryland"
"Required annual income after taxes","2 Adults (One Working) 1 Child",42825,"Maryland"
"Annual taxes","2 Adults (One Working) 1 Child",6218,"Maryland"
"Required annual income before taxes","2 Adults (One Working) 1 Child",49043,"Maryland"
"Food","2 Adults (One Working) 2 Children",8903,"Maryland"
"Child Care","2 Adults (One Working) 2 Children",0,"Maryland"
"Medical","2 Adults (One Working) 2 Children",6209,"Maryland"
"Housing","2 Adults (One Working) 2 Children",15638,"Maryland"
"Transportation","2 Adults (One Working) 2 Children",11553,"Maryland"
"Other","2 Adults (One Working) 2 Children",5178,"Maryland"
"Required annual income after taxes","2 Adults (One Working) 2 Children",47481,"Maryland"
"Annual taxes","2 Adults (One Working) 2 Children",6894,"Maryland"
"Required annual income before taxes","2 Adults (One Working) 2 Children",54375,"Maryland"
"Food","2 Adults (One Working) 3 Children",10835,"Maryland"
"Child Care","2 Adults (One Working) 3 Children",0,"Maryland"
"Medical","2 Adults (One Working) 3 Children",6176,"Maryland"
"Housing","2 Adults (One Working) 3 Children",20473,"Maryland"
"Transportation","2 Adults (One Working) 3 Children",11037,"Maryland"
"Other","2 Adults (One Working) 3 Children",4838,"Maryland"
"Required annual income after taxes","2 Adults (One Working) 3 Children",53359,"Maryland"
"Annual taxes","2 Adults (One Working) 3 Children",7748,"Maryland"
"Required annual income before taxes","2 Adults (One Working) 3 Children",61107,"Maryland"
"Food","2 Adults",5540,"Maryland"
"Child Care","2 Adults",0,"Maryland"
"Medical","2 Adults",4996,"Maryland"
"Housing","2 Adults",12815,"Maryland"
"Transportation","2 Adults",8554,"Maryland"
"Other","2 Adults",3916,"Maryland"
"Required annual income after taxes","2 Adults",35821,"Maryland"
"Annual taxes","2 Adults",5201,"Maryland"
"Required annual income before taxes","2 Adults",41023,"Maryland"
"Food","2 Adults 1 Child",6898,"Maryland"
"Child Care","2 Adults 1 Child",7977,"Maryland"
"Medical","2 Adults 1 Child",6145,"Maryland"
"Housing","2 Adults 1 Child",15638,"Maryland"
"Transportation","2 Adults 1 Child",9859,"Maryland"
"Other","2 Adults 1 Child",4284,"Maryland"
"Required annual income after taxes","2 Adults 1 Child",50802,"Maryland"
"Annual taxes","2 Adults 1 Child",7376,"Maryland"
"Required annual income before taxes","2 Adults 1 Child",58178,"Maryland"
"Food","2 Adults 2 Children",8903,"Maryland"
"Child Care","2 Adults 2 Children",11710,"Maryland"
"Medical","2 Adults 2 Children",6209,"Maryland"
"Housing","2 Adults 2 Children",15638,"Maryland"
"Transportation","2 Adults 2 Children",11553,"Maryland"
"Other","2 Adults 2 Children",5178,"Maryland"
"Required annual income after taxes","2 Adults 2 Children",59191,"Maryland"
"Annual taxes","2 Adults 2 Children",8595,"Maryland"
"Required annual income before taxes","2 Adults 2 Children",67786,"Maryland"
"Food","2 Adults 3 Children",10835,"Maryland"
"Child Care","2 Adults 3 Children",15443,"Maryland"
"Medical","2 Adults 3 Children",6176,"Maryland"
"Housing","2 Adults 3 Children",20473,"Maryland"
"Transportation","2 Adults 3 Children",11037,"Maryland"
"Other","2 Adults 3 Children",4838,"Maryland"
"Required annual income after taxes","2 Adults 3 Children",68802,"Maryland"
"Annual taxes","2 Adults 3 Children",9990,"Maryland"
"Required annual income before taxes","2 Adults 3 Children",78792,"Maryland"
"Food","1 Adult",3509,"Massachusetts"
"Child Care","1 Adult",0,"Massachusetts"
"Medical","1 Adult",2667,"Massachusetts"
"Housing","1 Adult",10422,"Massachusetts"
"Transportation","1 Adult",3764,"Massachusetts"
"Other","1 Adult",2096,"Massachusetts"
"Required annual income after taxes","1 Adult",22459,"Massachusetts"
"Annual taxes","1 Adult",3755,"Massachusetts"
"Required annual income before taxes","1 Adult",26214,"Massachusetts"
"Food","1 Adult 1 Child",5176,"Massachusetts"
"Child Care","1 Adult 1 Child",10125,"Massachusetts"
"Medical","1 Adult 1 Child",6416,"Massachusetts"
"Housing","1 Adult 1 Child",14800,"Massachusetts"
"Transportation","1 Adult 1 Child",6855,"Massachusetts"
"Other","1 Adult 1 Child",3644,"Massachusetts"
"Required annual income after taxes","1 Adult 1 Child",47016,"Massachusetts"
"Annual taxes","1 Adult 1 Child",7861,"Massachusetts"
"Required annual income before taxes","1 Adult 1 Child",54877,"Massachusetts"
"Food","1 Adult 2 Children",7786,"Massachusetts"
"Child Care","1 Adult 2 Children",13602,"Massachusetts"
"Medical","1 Adult 2 Children",6204,"Massachusetts"
"Housing","1 Adult 2 Children",14800,"Massachusetts"
"Transportation","1 Adult 2 Children",7901,"Massachusetts"
"Other","1 Adult 2 Children",3987,"Massachusetts"
"Required annual income after taxes","1 Adult 2 Children",54280,"Massachusetts"
"Annual taxes","1 Adult 2 Children",9076,"Massachusetts"
"Required annual income before taxes","1 Adult 2 Children",63356,"Massachusetts"
"Food","1 Adult 3 Children",10321,"Massachusetts"
